eid,block,performance,contrasts,n_contrasts
1e47ab6e-8424-4827-8d0a-170745798d72,0.5,"[0.0, 0.25, 0.08333333333333333, 0.2222222222222222, 0.0, 0.09090909090909091, 0.25, 0.5, 0.8]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[11, 4, 12, 9, 23, 11, 4, 6, 10]"
1e47ab6e-8424-4827-8d0a-170745798d72,0.2,"[0.3076923076923077, 0.6666666666666666, 0.5, 0.46153846153846156, 0.6086956521739131, 0.5333333333333333, 0.6111111111111112, 0.8478260869565217, 0.9142857142857143]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[13, 12, 10, 13, 92, 60, 54, 46, 70]"
1e47ab6e-8424-4827-8d0a-170745798d72,0.8,"[0.02857142857142857, 0.09302325581395349, 0.061224489795918366, 0.11627906976744186, 0.21666666666666667, 0.18181818181818182, 0.3333333333333333, 0.2857142857142857, 0.5]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[35, 43, 49, 43, 60, 11, 12, 14, 12]"
70131f8f-2f16-4128-9273-a41d99fdb73d,0.5,"[0.14285714285714285, 0.0, 0.38461538461538464, 0.45454545454545453, 0.125, 0.2857142857142857, 0.5714285714285714, 0.7142857142857143, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[7, 7, 13, 11, 16, 7, 7, 14, 8]"
70131f8f-2f16-4128-9273-a41d99fdb73d,0.2,"[0.7692307692307693, 0.7777777777777778, 0.875, 0.7894736842105263, 0.7976190476190477, 0.7746478873239436, 0.8701298701298701, 0.9591836734693877, 0.9827586206896551]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[13, 18, 24, 19, 84, 71, 77, 49, 58]"
70131f8f-2f16-4128-9273-a41d99fdb73d,0.8,"[0.4927536231884058, 0.5961538461538461, 0.5737704918032787, 0.6078431372549019, 0.515625, 0.5833333333333334, 1.0, 0.8333333333333334, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[69, 52, 61, 51, 64, 12, 7, 12, 12]"
a67ce567-9bd3-4570-941f-960b05b9fb3c,0.5,"[0.0, 0.0, 0.16666666666666666, 0.25, 0.5217391304347826, 0.14285714285714285, 0.9090909090909091, 0.8888888888888888, 0.8571428571428571]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[9, 10, 6, 8, 23, 7, 11, 9, 7]"
a67ce567-9bd3-4570-941f-960b05b9fb3c,0.2,"[0.0, 0.0, 0.13333333333333333, 0.3333333333333333, 0.42105263157894735, 0.5416666666666666, 0.5161290322580645, 0.68, 0.90625]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[10, 4, 15, 6, 38, 24, 31, 25, 32]"
a67ce567-9bd3-4570-941f-960b05b9fb3c,0.8,"[0.0, 0.0, 0.03225806451612903, 0.0, 0.07692307692307693, 0.0, 0.375, 0.5555555555555556, 0.75]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[20, 27, 31, 26, 26, 7, 8, 9, 12]"
863003a9-73d2-4471-af6e-5befe0d57cb7,0.5,"[0.0, 0.0, 0.21428571428571427, 0.5555555555555556, 0.8125, 0.42857142857142855, 0.8888888888888888, 1.0, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[8, 8, 14, 9, 16, 7, 9, 11, 8]"
863003a9-73d2-4471-af6e-5befe0d57cb7,0.2,"[0.0, 0.08333333333333333, 0.3333333333333333, 0.3333333333333333, 0.5384615384615384, 0.5, 0.7906976744186046, 0.8518518518518519, 0.9459459459459459]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[7, 12, 9, 9, 39, 26, 43, 27, 37]"
863003a9-73d2-4471-af6e-5befe0d57cb7,0.8,"[0.0, 0.01818181818181818, 0.0, 0.20754716981132076, 0.3684210526315789, 0.4444444444444444, 0.5, 0.8666666666666667, 1.0]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[61, 55, 51, 53, 57, 18, 20, 15, 19]"
feb20910-b6e1-4801-9fa7-a85ae53cb601,0.5,"[0.0, 0.0, 0.0, 0.0, 0.09523809523809523, 0.0, 0.25, 0.375, 0.5714285714285714]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[8, 8, 10, 12, 21, 8, 8, 8, 7]"
feb20910-b6e1-4801-9fa7-a85ae53cb601,0.2,"[0.125, 0.06666666666666667, 0.1, 0.3333333333333333, 0.39285714285714285, 0.425, 0.4909090909090909, 0.5641025641025641, 0.7608695652173914]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[8, 15, 10, 15, 56, 40, 55, 39, 46]"
feb20910-b6e1-4801-9fa7-a85ae53cb601,0.8,"[0.04, 0.02631578947368421, 0.038461538461538464, 0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.3]","[-100.0, -25.0, -12.5, -6.25, 0.0, 6.25, 12.5, 25.0, 100.0]","[25, 38, 26, 26, 41, 4, 7, 7, 10]"
